Devanagari,Romanization,Language,Root ,Grammatical Form,Definition
आह,āh,Sanskrit,√ah (आह्),Verb Root (Parasmaipada),"To say, speak, declare; to utter or proclaim."
अहन्य,ahanya,Sanskrit,"a- (अ, “not”) + han (√हन्, “to kill, destroy”)",Adjective,Indestructible; not to be killed or destroyed
अह्नौ,ahnau,Sanskrit,ahán (अहन्),"Noun (neuter, dual case form)","Two days; the dual form of “day” (ahan), referring to a pair of days."
ऐ,ai,Sanskrit,ai,Particle / Interjection,"A particle of addressing; used to call attention, expression of remembrance"
अजौ,ajau,Sanskrit,अज (aja),Nominative/Accusative Dual (noun),The two unborn; the two eternal/uncreated ones
अजिरः,ajiraḥ,Sanskrit,"√अज् (aj, “to move swiftly”)",Masculine noun,"Snake priest; also swift, agile; name of a serpent-priest."
अमुकौ,amukau,Sanskrit,From amuka,Dual nominative/accusative/vocative (masc.),The two certain ones; those two so-and-so’s.
अन्धात्,andhāt,Sanskrit,अन्ध (andha),Ablative singular (masc./neut.),from the blind one; from blindness
अन्दु,andu,Sanskrit,√and,feminine noun,chain; fetter; bond; ankle ornament; elephant foot-chain
अङ्गौ,aṅgau,Sanskrit,अङ्ग (aṅga),Dual masculine (Nom./Voc./Acc.),"two limbs, parts, or departments"
अङ्घो,aṅgho,Sanskrit,—,Interjection / Expletive,"exclamation expressing anger or grief -ah!, alas!, ugh!"
अङ्गून्,aṅgūn,Sanskrit,अङ्गु (aṅgu),Accusative Plural (Masculine),the hands; the limbs; the birds
अनिन,anina,Sanskrit,अन- (an-) + इन- (ina),adjective (m/f/n),"without a master or lord; feeble, weak"
अन्तिकौ,antikau,Sanskrit,antika (अन्तिक),Nominative / Accusative Dual of Masculine Noun,The two nearnesses; the two proximities; the two who are near/close.
अनुकैः,anukaiḥ,Sanskrit,अनुक (anuka),Instrumental plural (m./f./n. adjective used substantively),"By, with, or through the desirous ones, greedy ones, lustful ones"
अन्यन्,anyan,Sanskrit,"From अन्य (anya, “other, different, another”)",Adjective / Pronoun (declined form),"Other, another, different, someone else."
अन्यौ,anyau,Sanskrit,अन्य (anya),Dual Nominative / Accusative,Two others; both others
अर्,ar,Sanskrit,√ṛ,Verb Root (dhātu),"To attain, to go, to praise, to acquire"
