timestamp,devanagari,romanization,translation
10:22 – 10:29,"ऐ जून ओयर ढाः उन ओयर ढाः इन्, अणुण जरा ढाः इन्, अनङ्गान् गणिन् गण आइयण इन् उण्डुकौ",Ai jūn oyara ḍhāḥ un oyara ḍhāḥ In aṇuṇ Jarā ḍhāḥ In anaṅgān gaṇin gaṇ āiyaṇa In Jarā ḍhāḥ Uṇḍukau,"Remember the stubborn Avatar Serpents, the guilty Avatar Serpents, the Lord, the Whole Ancient Serpent Lord, Multiple Naga Kings, the Commander and the Troops of Shiva who received the Lord, the Ancient Serpents, and the Two Leprosies."
10:30 – 10:38,ऐए  ऐया अंग ऐन इन् जरा ढाः आन यानिन् इङ्ग् गोङ्कयोः जरा ढाः इन् इन्दून् गोखैः अट् मूकौ ऐ इन् जेऱ्हा अन् गूकौ हो,Aiye aṅga aiy ain In Jarā ḍhāḥ ān yānin iṅg goṅkayoḥ Jarā ḍhāḥ indūn gokhaiḥ aṭ mūkau ai In jeṛhā an gūkau ho,"The two female ascetic (nuns) and the limb, at the height, the Lord and the Ancient Serpents, the heyday, had a vehicle to stir. Concerning the two Gonkas, the Ancient Serpents, and the Lord, the Soma drops by means of the cow holes, and the wandering two Muted Ones - remember the Lord [was] overcome by the Soul and the two fish (Revati Nakshatra – last section of Pisces constellation?)."
10:38 – 10:41,मांग ऐ जून ढौ इमौ खोः,Māṅga ai jūn ḍhau imau khoḥ,"Mang people remember the stubborn two Serpents, these two of the two skies."
10:41 – 10:47,ऐ जून जगे जुन् गोः इन् ज्ञान ढाः अङ्गौ कोचौ ऐयारो अंग जरा ढाः सेण गिहि,Ai jūn jage jun goḥ In jñāna ḍhāḥ aṅgau kocau aiyāro aṅg Jarā ḍhāḥ In seṇ gihi,"Remember the Mankind who moved the Nine and the Lord, [who] understood the Serpents and the two limbs [were the] transgressor - the limb, the Ancient Serpents, the Lord, and the Military House Holder."
10:48 – 10:51,भंग ओइ औ अंग जरा ढाः मच्च ढौकौ,Bhaṅg oi au aṅga Jarā ḍhāḥ dehin ḍhaukau,"Oh, the ruin! Ananta Shesha, the limb, the Ancient Serpents, the corporeal body, and the two Moving Ones."
10:51 – 10:58,भंग ओइ अंग हिंग हि हिंग ओइ जरा ढाः इन् गेहिन् घण् अङ्क् शिणीक केके खे मूकौ हो,Bhaṅg oi aṅg oi hi hiṅg oi Jarā ḍhāḥ In gehin ghaṇ aṅk śiṇīk [kkkk] keke khe mūkau ho,"Oh, the ruin! Oh, the limb! Oh, the Forsaken and the Resin! The Ancient Serpents—the Lord and the Wife of the Householder shined and went crookedly—a shooting pain in the limbs [extend pain sound]. The two cries of a peacock—the two skies (heavens)—the two Muted Ones."
10:58 – 11:01,ऐ जून ओयरा ढाः इन्धे मूकौ हो,Ai jūn oyarā ḍhāḥ indhe mūkau ho,Remember the stubborn two Avatar Serpents [who were] tempted by the two Muted Ones.
11:01 – 11:06,ऐ जून नव जरा ढाः इन्धे कय हय् मूकौ यरादी इन् शिङ्गे हय् मूकौ हो,Ai jūn nau Jarā ḍhāḥ Indhe kay hay mūkau yāradī In śiṅge hay mūkau ho,Remember the stubborn Nine Ancient Serpents tempted the Assembly to worship The Two Silenced Ones—the hereditary office—the Lord in the Youth worshiped the two Silenced Ones.
11:06 – 11:12,ऐ जून जरा ढाः ईशे शे शेषे मूकौ हो इन्दून् जरा ढाः उण्डुकौ हो,Ai jūn Jarā ḍhāḥ īśe śe śeṣe mūkau ho indūn Jarā ḍhāḥ uṇḍukau ho,Remember the stubborn Ancient Serpents in Śiva—He Reclines and Ananta Shesha—the two Muted Ones were the Ancient Serpent Moons—the two Leprosies.
11:12 – 11:16,बंड जराः धौ उन धौ जरा ढाः अर् शूर् शेषे मच्च है,Baṇḍ jarāḥ dhau un dhau Jarā ḍhāḥ ar śūr śeṣe macca hai,The band of rebels—the Ancients—the two Serpents—the guilty two Serpents—the Ancient Serpents that killed; [those] in Ananta Śeṣa the Human Race! (11:16 – 11:30)
11:30 – 11:38,ऐ जून जरा ढाः अर् शूर् शे शेष्यम् मच्च है जौ नौकौ हो जरा ढाः इन् अयु ओमोकौ जरा ढाः  इन् सिन गिहि,Ai jūn Jarā ḍhāḥ ar śūr śe śeṣyam macca hai jau naukau ho Jarā ḍhāḥ In ayu omokau Jarā ḍhāḥ In sin gihi,Remember the stubborn Ancient Serpents who killed—He Reclines and the Remainder Mankind! The two who were born from the Two Emissaries are the Ancient Serpents Lord—the First human race—the two delusions—an Ancient Serpents Lord—the village and the householder.
11:38 – 11:44,बुन्द् अयर धौ उन्द् ओयर ढ अर् शूर् शे शेष्यम् मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय्,Bund ayara dau und oyara ḍha ar śūr śe śeṣyam macca hai jau naukau ho Jarā ḍhāḥ In dekhi hay,Understand the Eternal two Serpents moistened the Avatar Serpent and killed——He Reclines and The Remainder—Mankind! The two who were born from the Two Emissaries are the Ancient Serpents who tempted the Assembly to worship.
11:44 – 11:51,बन् ओयर ढ इन्धे खी मूकौ हो जरा ढाः उन्द् ओकैः आर उर् शूर् शे शेष्यम् मच्च है,Ban oyara dha indhe khi mūkau ho Jarā ḍhāḥ und okaiḥ ār ur śūr śe śeṣyam macca hai,[They] Begged the Avatar Serpent to be tempted by the elegant two Muted Ones who were they who moistened with the Houses—a large Serpent (Hydra constellation—Āśleṣā Lunar Mansion?) murderers—He Reclines and The Remainder—Mankind!
11:51 – 12:00,भुङ् जरा धौ उन धौ जरा ढाः अंधी जरा धौ जरा ऊ नौकौ जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः अमू धौ अर् शूर् शे शेष्यम् मच्च है,Bhuṅ jarā dhau un dhau Jarā ḍhāḥ andhī jarā dhau jara dādara ū naukau Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ amū dhau Jarā ḍhāḥ ar śūr śe śeṣyam macca hai,"{a ritual vocalization employed in Sāmavedic recitation} The ancient two Serpents —the guilty two Serpents, the Storm—the Ancient Two Serpents, the ancient skin rash —the moon, the two Emissaries and the Ancient Serpents who tempted the Assembly to worship the two Muted Ones who are the Ancient Serpents—the speechless two Serpents—the Ancient Serpents who killed—He Reclines and the Remainder—Mankind!"
12:03 – 12:12,इनौ जरा ढाः अह्नोः जरा ढाः इन् जरा ढाः अह्नोः चौ कोचौ जरा ढाः जर्दौ धौ एण येडे धरा अह्नोः जरा ढाः इन्धे दीद मूकौ हो जरा ढाः इन् नौकाः जरा ढाः अंग उंघ जरा ढाः इङ्गे केके मूकौ हो जरा ढाः अंध ओ कोचौ जरा ढाः इङ्गे केके मूकौ हो,Inau Jarā ḍhāḥ ahnoḥ Jarā ḍhāḥ In Jarā ḍhāḥ ahnoḥ cau kocau Jarā ḍhāḥ In jardau dhau eṇ yede dharā ahnoḥ Jarā ḍhāḥ indhe dida mūkau ho Jarā ḍhāḥ In naukāḥ Jarā ḍhāḥ aṅga uṃgha Jarā ḍhāḥ iṅge keke mūkau ho Jarā ḍhāḥ andha O kocau Jarā ḍhāḥ iṅge keke mūkau ho,"The two Kings; The Ancient Serpents for two days; The Ancient Serpents Lord; The Ancient Serpents for two days; the two vile withering ones; The Ancient Serpents Lord: the two aged Serpents and the Black Antelope [Capricorn]; That mentally unstable world; For two days the Ancient Serpents tempted and caused ruin The Two Muted Ones were the Ancient Serpents Lord; The Emissaries and the Ancient Serpents; The Limb and the Sleep; The Ancient Serpents in/on the Earth – uttering the cry of two peacocks; The two Muted Ones who were Ancient Serpents Oh, the blind two withering Ones! The Ancient Serpents in/on the Earth – uttering the cry of two peacocks."
12:19 – 12:26,ऐ जून नव यरादी इषिके हेय मोहौ यरादी इषेः शे मूकौ हो यरादी इन् देख चौ मूकौ हो,Ai jūn Nau Yāradī iṣike hey mohua Yaradi ise śe mūkau ho Yaradi In dēkh cau mūkau ho,Remember the stubborn Nine—the Hereditary Office and the two Arrows—the abandoned two confusions and the Hereditary Office from the desiring one [that] reclines on the Two Muted Ones who are the Hereditary Office Lord who saw the two thieves—the Two Muted Ones
12:26 – 12:32,बन्दी जडौ आणे जरा ढाः अन्दु कोचौ ख जरा ढाः ढे ईसे से सेसे मूकौ हो,Bandi jadau āṇe Jarā ḍhāḥ andu kocau kha Jarā ḍhāḥ ḍhe ise se sese mūkau ho,"The two Heralds and the two stupid ones—the two Orders, the Ancient Serpents and the elephant-foot chain—two withering ones, the Heaven and the Ancient Serpents in the Serpent upon the Lord who assembled into Ananta Śeṣa—the two Muted Ones."
12:32 – 12:36,सानुकौ जरा ढाः ईसे सेसे सेसे सेसे से इङ्गे हय्,Sānukau Jarā ḍhāḥ īse sese sese sese se iṅge hay,"The two haughty Ancient Serpents upon the Lord—Ananta Sesa, Ananta Sesa, Ananta Sesa, came together in/on the earth to worship."
12:36 – 12:43,भुङ् ये जरा ढाः ईसे से मूकौ हो जरा ढाः ईसे से मूकौ हो इन्धे कय हय्,Bhuṅ ye Jarā ḍhāḥ īse se mūkau ho Jarā ḍhāḥ īse se mūkau ho Jarā ḍhāḥ indhe kay hay,{A ritualistic sound} The Ancient Serpents upon the Lord assembled—the two Silenced Ones who are the Ancient Serpents—the two upon the Lord gathered—the two Silenced Ones who are the Ancient Serpents who tempted the Assembly to worship.
